,occurrence_no,early_interval,late_interval,max_ma,max_ma_error,max_ma_method,min_ma,min_ma_error,min_ma_method,direct_ma_value,direct_ma_error,direct_ma_method,formation,member,spatial_resolution,collection_dates,ref_author,ref_pubyr,Late_Age,Early_Age,min_Ma,max_Ma,Ref
140121,1473554,Late Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Arkadelphia,,,,Larina et al. 2016,2016,,,,,
140129,1473568,Late Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Prairie Bluff Chalk,,,,Larina et al. 2016,2016,,,,,
140530,1474045,Kaiatan,,39.1,NA,,36.7,NA,,NA,NA,,Waiareka tuff,,,,Marwick 1926,1926,,,,,
140556,1474071,Early Eocene,,56,NA,,48.07,NA,,NA,NA,,Horokabetsu,,,,Mizuno 1954,1954,,,,,
140765,1474291,Priabonian,,37.71,NA,,33.9,NA,,NA,NA,,Pallinup,,,,Darragh 2017,2017,,,,,
141901,1475722,Chattian,,27.3,NA,,23.04,NA,,NA,NA,,Torehina,,,,Eagle and Hayward 1993,1993,,,,,
144046,1480194,Selandian,,61.66,NA,,59.24,NA,,NA,NA,,Poerters Creek,Matthews Landing,,,Foster et al. 2020,2020,,,,,
144833,1481732,Selandian,Thanetian,61.66,NA,,56,NA,,NA,NA,,Katsuhira,,,,Amano et al. 2018,2018,,,,,
145067,1482624,Late Hauterivian,Aptian,132.6,NA,,113.2,NA,,NA,NA,,Cupido  ,,,,Torres De La Cruz et al. 2018,2018,,,,,
145801,1485910,Chattian,,27.3,NA,,23.04,NA,,NA,NA,,Division D,,,,Jeletzky 1973,1973,,,,,
145818,1486241,Danian,,66,NA,,61.66,NA,,NA,NA,,Clayton Limestone,,,,Maisch et al. 2020,2020,,,,,
145837,1486386,Wasatchian,,56,NA,,51.1,NA,,NA,NA,,DeBeque,,,,Hickman 2014,2014,,,,,
145983,1487036,Chattian,,27.3,NA,,23.04,NA,,NA,NA,,Grafenberg,,,,Albright et al. 2019,2019,,,,,
145984,1487106,Early Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Chorrillo,Middle,,2019,Novas et al. 2019,2019,,,,,
146697,1490620,Late Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Demopolis Chalk,Bluffport Marl,,2001-2002,Gentry et al. 2019,2019,,,,,
146757,1491187,Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Cabrillo,,,1967?,Saul 1989,1989,,,,,
146764,1491274,Early Coniacian,,89.8,NA,,85.7,NA,,NA,NA,,Ector Chalk,,,1940,Anonymous 1940,1940,,,,,
146774,1492017,Priabonian,,37.71,NA,,33.9,NA,,NA,NA,,Cowliz,,,,Hickman 1976,1976,,,,,
146907,1496568,Oligocene,,33.9,NA,,23.04,NA,,NA,NA,,Gries Ranch,,,,Durham 1944,1944,,,,,
147279,1497001,Oligocene,,33.9,NA,,23.04,NA,,NA,NA,,Twin Rivers,,,,Durham 1944,1944,,,,,
147299,1497023,Oligocene,,33.9,NA,,23.04,NA,,NA,NA,,Twin River,,,,Durham 1944,1944,,,,,
147422,1499360,Early Valanginian,,137.05,NA,,132.6,NA,,NA,NA,,Morro,,,2018,Casson et al. 2020,2020,,,,,
147427,1499365,Late Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Zimam,Lower Tar,,,Machalski et al. 2009,2009,,,,,
147428,1499366,Late Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Qasr Al Abid,,,,Abdel-Gawad 2008,2008,,,,,
147477,1499419,Late Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Al Baniyah,,,,Abdel-Gawad 2008,2008,,,,,
147502,1499444,Late Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,El-Hiez,,,,Abdel-Gawad 2008,2008,,,,,
147505,1499752,Middle Eocene,,48.07,NA,,37.71,NA,,NA,NA,,Mabury,,,,Hanna and Hertlein 1949,1949,,,,,
147516,1499991,Late Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Cap de Nez,,,,Sornay and Tessier 1949,1949,,,,,
147558,1501460,Late Aptian,Albian,119.57,NA,,100.5,NA,,NA,NA,,Annankov Island,,,,Pettigrew and Willey 1975,1975,,,,,
147559,1501462,Hauterivian,Aptian,132.6,NA,,113.2,NA,,NA,NA,,Annenkov Island,,,1928-1929,Wilckens 1947,1947,,,,,
147778,1503053,Early Albian,,113.2,NA,,110.1,NA,,NA,NA,,Madiela,,,,Musavu Moussavou 2019,2019,,,,,
147795,1503074,Turonian,,93.9,NA,,89.8,NA,,NA,NA,,Azilé,,,,Musavu Moussavou and Mougola 2016,2016,,,,,
148254,1504247,Coniacian,,89.8,NA,,85.7,NA,,NA,NA,,Awgu Limestone,,,,Reyment 1955,1955,,,,,
148298,1504413,Middle Albian,,110.1,NA,,106.3,NA,,NA,NA,,Robles,,,,Young 1977,1977,,,,,
148299,1504414,Late Albian,,106.3,NA,,100.5,NA,,NA,NA,,Tutu,,,,Young 1977,1977,,,,,
148302,1504489,Bartonian,Priabonian,41.03,NA,,33.9,NA,,NA,NA,,Escalante,,,,Jeletzky 1975,1975,,,,,
148502,1507903,Early Turonian,,93.9,NA,,89.8,NA,,NA,NA,,Sidney Island,,,1970,Haggart et al. 2005,2005,,,,,
148549,1508132,Late Turonian,,93.9,NA,,89.8,NA,,NA,NA,,Barnes Island,,,1994,Haggart et al. 2005,2005,,,,,
148623,1508435,Campanian,,83.6,NA,,72.2,NA,,NA,NA,,Spray,,,,Squires and Saul 1997,1997,,,,,
148646,1509985,Paleocene,,66,NA,,56,NA,,NA,NA,,Cerro Khasem,,,1950,Camacho 1957,1957,,,,,
148770,1510707,Late Albian,,106.3,NA,,100.5,NA,,NA,NA,,Catumbela,,,1882-1886,Choffat and de Loriol 1888,1888,,,,,
148782,1510719,Middle Albian,,110.1,NA,,106.3,NA,,NA,NA,,Cuio,,,1882-1886,Choffat and de Loriol 1888,1888,,,,,
148783,1510720,Early Cenomanian,,100.5,NA,,93.9,NA,,NA,NA,,Coporolo,,,1882-1886,Choffat and de Loriol 1888,1888,,,,,
148868,1510921,Middle Santonian,,85.7,NA,,83.6,NA,,NA,NA,,Baba,Canico,,,Cooper 2003,2003,,,,,
148993,1514745,Bartonian,,41.03,NA,,37.71,NA,,NA,NA,,Orizzonte di Roncà,Nummulitic limestone,,,de Zigno 1881,1881,,,,,
149008,1516964,Valanginian,,137.05,NA,,132.6,NA,,NA,NA,,Rurikfjellet,,,,Frebold 1928,1928,,,,,
149009,1516965,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Helvetiafjellet,,,,Frebold 1928,1928,,,,,
149159,1520268,Valanginian,Hauterivian,137.05,NA,,125.77,NA,,NA,NA,,Janusfjellet,Rurikfjellet,,,Birkenmajer 1980,1980,,,,,
149168,1520611,Eocene,,56,NA,,33.9,NA,,NA,NA,,Río Foyel,,,,Pérez et al. 2016,2016,,,,,
149186,1521768,Aptian,,121.4,NA,,113.2,NA,,NA,NA,,Urgoniana ,,,1867,Taylor 1986,1986,,,,,
